Year,Month,Day,Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Rainy
0.4995601148812073,-1.021358799887198,0.7123419786940773,0.2672996563440339,0.4828410745318946,0.3003502523782446,0.3888359676874689,0.4872310497307973,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-1.021358799887198,0.8259700784770315,0.2421742943886722,0.3322272408056366,0.21921538651236103,0.2881444144680488,0.1927790908546597,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-1.021358799887198,0.9395981782599857,0.09142212265650466,0.20312966904027283,0.056945654780591985,-0.06427602179992115,0.4518968146656603,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-1.021358799887198,1.0532262780429398,-0.235207582763193,-0.35629314194296857,-0.13236903223980456,-0.7942897826407164,-1.032141058070073,-0.34458819438741484,-0.42591948865966445,-0.40498156850367584,-0.40989364230577213,1
0.4995601148812073,-1.021358799887198,1.166854377825894,0.016046036790420437,0.18161340707938012,0.19217043122373254,-0.3411777931533263,0.1574448557895227,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-1.021358799887198,1.2804824776088481,-0.5869626501382516,-0.8941996909653165,-0.3487286745488296,-0.16496757501934126,2.0654935493068947,-0.16737824908249163,-0.34671875179503114,-0.3219650342940658,-0.2813433544503073,1
0.4995601148812073,-1.021358799887198,1.3941105773918023,-0.3105836686292772,0.24616219296206127,-0.29463876397157357,-0.7942897826407164,-0.8672479610994356,-0.006278298805288748,-0.08271629557958672,-0.15593196587484578,-0.13442873975834754,1
0.4995601148812073,-1.021358799887198,1.5077386771747567,-0.235207582763193,-0.16264678429492285,-0.10532407695117704,-0.7942897826407164,-1.4208176437865747,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-1.021358799887198,1.621366776957711,-0.2854583066739155,0.24616219296206127,-0.7273580485896228,-0.8698084475552814,0.3223379527601604,1.1375313481628517,0.8940927924175573,0.8610205781928769,1.3530817339977452,1
0.4995601148812073,-1.021358799887198,1.734994876740665,0.11654748461186547,0.4828410745318946,-0.05123416637392006,-0.6180795645067313,-0.3607905918324793,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-0.7314049360799852,-1.6738481167479609,-0.05933004907566377,0.2891947168838497,-0.15941398752843305,-0.6180795645067313,-0.7848014126141172,2.861300816128923,2.372506547224046,3.600566207110007,3.3364290323392023,1
0.4995601148812073,-0.7314049360799852,-1.5602200169650067,0.16679820852258886,0.24616219296206127,0.16512547593510404,-0.3411777931533263,-0.5256836888031161,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-0.7314049360799852,-1.4465919171820525,0.2421742943886722,0.2676784549229555,0.3003502523782446,-0.16496757501934126,-0.31367827841229706,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-0.7314049360799852,-1.3329638173990983,0.2672996563440339,0.418292288649212,0.16512547593510404,-0.06427602179992115,-0.690576785773753,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-0.7314049360799852,-1.2193357176161441,0.19192357047794967,0.37525976472742506,0.19217043122373254,-0.24048623993390622,-0.5256836888031161,-0.3284781993596945,-0.24111776930885334,-0.2804567671892608,-0.29970768128680225,1
0.4995601148812073,-0.7314049360799852,-1.10570761783319,0.14167284656722715,0.6334549082581511,0.16512547593510404,-0.3411777931533263,0.06322022894915899,0.0742716763333127,0.41888837122975753,0.2383965716208018,0.15940048962557204,1
0.4995601148812073,-0.7314049360799852,-0.9920795180502355,-0.05933004907566377,0.2676784549229555,0.056945654780591985,-0.3411777931533263,-0.1016728680214779,2.8451908211012027,3.3229153895996455,3.164729402509555,3.2446073981567274,1
0.4995601148812073,-0.7314049360799852,-0.8784514182672813,0.16679820852258886,0.11706462119669743,0.3273952076668731,0.11193419633406393,0.02788599388402239,-0.45735815958145687,-0.45231973428120886,-0.4464898356084808,-0.446622295978762,1
0.4995601148812073,-0.7314049360799852,-0.7648233184843272,0.2421742943886722,0.18161340707938012,0.3273952076668731,0.3888359676874689,0.8287953220271168,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-0.7314049360799852,-0.651195218701373,0.2672996563440339,0.24616219296206127,0.35444016295550157,-0.24048623993390622,-0.3961248268976155,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-0.7314049360799852,-0.5375671189184188,0.41805182807620234,0.46132481257100044,0.38148511824412906,-0.06427602179992115,-0.019226319536159456,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-0.7314049360799852,-0.42393901913546456,0.46830255198692483,0.4828410745318946,0.4626199841100136,-0.24048623993390622,-0.3961248268976155,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-0.7314049360799852,-0.3103109193525103,0.44317719003156314,0.5043573364927889,0.5167098946872696,0.11193419633406393,0.616789911636298,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-0.7314049360799852,-0.19668281956955622,0.016046036790420437,0.16009714511848588,-0.05123416637392006,-0.7942897826407164,-1.1145876065553912,3.183500716683329,4.06212226700289,3.8911240768436426,3.520072300704152,1
0.4995601148812073,-0.7314049360799852,-0.08305471978660198,-0.1598314968971088,0.2891947168838497,-0.07827912166254855,-0.7942897826407164,-1.1145876065553912,0.090381671361033,-0.05631604995804231,-0.11442369877004077,0.06757885544309718,1
0.4995601148812073,-0.7314049360799852,0.030573379996352207,-0.3105836686292772,-0.3132606180211809,0.08399061006922047,-0.8698084475552814,-0.2665659649921152,0.29981160672139684,0.12848566939276873,0.4044296400400218,0.39813673850000664,1
0.4995601148812073,-0.7314049360799852,0.1442014797793064,0.06629676070114296,0.3322272408056366,0.111035565357848,-0.7942897826407164,-1.2088122333957554,-0.45735815958145687,-0.45231973428120886,-0.4464898356084808,-0.446622295978762,1
0.4995601148812073,-0.7314049360799852,0.25782957956226066,0.2672996563440339,0.3537435027665308,0.3003502523782446,-0.16496757501934126,-0.14878518144166017,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-0.7314049360799852,0.37145767934521484,0.16679820852258886,0.37525976472742506,0.3003502523782446,-0.6935982294212962,0.9583541839326175,-0.4734681546091771,-0.4787199799027533,-0.46724396916088334,-0.464986622815257,1
0.4995601148812073,-0.7314049360799852,0.485085779128169,-0.10958077298638627,0.24616219296206127,-0.3757736298374581,-0.6180795645067313,0.581455676571161,7.420429408973766,4.405325460082968,6.0287998327411,7.064387380147682,1
0.4995601148812073,-0.7314049360799852,0.5987138789111232,-0.235207582763193,0.030999573353122072,0.002855744203335965,-0.9705000007747013,-0.3607905918324793,-0.37680818444285546,-0.42591948865966445,-0.40498156850367584,-0.3548006617962872,1
0.4995601148812073,-0.7314049360799852,0.7123419786940773,0.09142212265650466,0.4398085506101062,0.111035565357848,-0.8698084475552814,-0.690576785773753,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-0.7314049360799852,0.8259700784770315,-0.08445541103102458,0.2891947168838497,-0.3216837192602011,-0.8698084475552814,-0.18411941650679675,0.9119914177747677,1.0788945117683684,1.0062995130596946,1.1143454851233106,1
0.4995601148812073,-0.7314049360799852,0.9395981782599857,0.19192357047794967,0.07403209727490975,0.08399061006922047,-0.6180795645067313,-1.161699919975573,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-0.7314049360799852,1.0532262780429398,0.6190547237190923,0.5904223843363642,0.4896649393986421,-0.6180795645067313,-0.690576785773753,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-0.7314049360799852,1.166854377825894,0.21704893243331136,0.3537435027665308,-0.05123416637392006,-0.6180795645067313,0.1574448557895227,1.6691611840776215,2.821310722790301,2.29305579330865,1.9774688464385746,1
0.4995601148812073,-0.7314049360799852,1.2804824776088481,-0.2854583066739155,0.05251583531401629,-0.5650883168578547,-0.8698084475552814,0.616789911636298,2.603540895685398,2.610108757817946,2.4383347281754673,2.858956534590333,1
0.4995601148812073,-0.7314049360799852,1.3941105773918023,0.016046036790420437,0.20312966904027283,0.002855744203335965,-0.8698084475552814,-0.05456055460129605,-0.4734681546091771,-0.4787199799027533,-0.46724396916088334,-0.464986622815257,1
0.4995601148812073,-0.7314049360799852,1.5077386771747567,0.46830255198692483,0.3537435027665308,0.24626034180098855,-0.3411777931533263,-0.31367827841229706,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-0.7314049360799852,1.621366776957711,0.41805182807620234,0.56890612237547,0.7330695369962946,-0.06427602179992115,0.3223379527601604,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-0.44145107227277247,-1.6738481167479609,-0.1598314968971088,-0.4853907137083316,0.24626034180098855,-0.9705000007747013,-0.9025821961645722,-0.23181822919337278,-0.39951924303812,-0.3219650342940658,-0.2262503739408224,1
0.4995601148812073,-0.44145107227277247,-1.5602200169650067,0.06629676070114296,0.5473898604145758,-0.024189211085292525,-0.9705000007747013,1.1703595943234362,0.29981160672139684,0.7884918099313798,0.5289544413544369,0.4165010653365017,1
0.4995601148812073,-0.44145107227277247,-1.4465919171820525,0.06629676070114296,0.5473898604145758,-0.29463876397157357,-0.9705000007747013,0.11033254236934084,0.6220115072758027,1.0524942661468242,0.9232829788500844,0.7837876020664012,1
0.4995601148812073,-0.44145107227277247,-1.3329638173990983,0.2924250182993956,0.3967760266883193,0.002855744203335965,-0.7942897826407164,-0.6552425507086168,0.7992214525807257,1.4484979504699906,1.068561913716902,0.9857951972678458,1
0.4995601148812073,-0.44145107227277247,-1.2193357176161441,0.2421742943886722,0.18161340707938012,0.19217043122373254,-0.8698084475552814,-0.9968068230049363,-0.4734681546091771,-0.4787199799027533,-0.46724396916088334,-0.464986622815257,1
0.4995601148812073,-0.44145107227277247,-1.10570761783319,0.44317719003156314,0.4398085506101062,0.4896649393986421,-0.6180795645067313,-0.05456055460129605,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
0.4995601148812073,-0.44145107227277247,-0.9920795180502355,0.5939293617637316,0.5473898604145758,0.40853007353275755,-0.4166964580678913,-0.6552425507086168,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
